lon,lat,lev,time,dni
1.0,32.5,12.0,2020-04-01,273.90598
1.0,32.5,12.0,2020-04-02,850.4637
1.0,32.5,12.0,2020-04-03,846.4993
1.0,32.5,12.0,2020-04-04,888.711
1.0,32.5,12.0,2020-04-05,216.48955
1.0,32.5,12.0,2020-04-06,851.79645
1.0,32.5,12.0,2020-04-07,843.9876
1.0,32.5,12.0,2020-04-08,836.87836
1.0,32.5,12.0,2020-04-09,839.4797
1.0,32.5,12.0,2020-04-10,-200.3073
1.0,32.5,12.0,2020-04-11,827.6414
1.0,32.5,12.0,2020-04-12,476.7587
1.0,32.5,12.0,2020-04-13,873.27936
1.0,32.5,12.0,2020-04-14,17.595
1.0,32.5,12.0,2020-04-15,715.7291
1.0,32.5,12.0,2020-04-16,-200.30725
1.0,32.5,12.0,2020-04-17,675.7608
1.0,32.5,12.0,2020-04-18,-200.30733
1.0,32.5,12.0,2020-04-19,817.2617
1.0,32.5,12.0,2020-04-20,853.28766
1.0,32.5,12.0,2020-04-21,862.0749
1.0,32.5,12.0,2020-04-22,851.78265
1.0,32.5,12.0,2020-04-23,861.0761
1.0,32.5,12.0,2020-04-24,836.8453
1.0,32.5,12.0,2020-04-25,850.91254
1.0,32.5,12.0,2020-04-26,853.1016
1.0,32.5,12.0,2020-04-27,847.08514
1.0,32.5,12.0,2020-04-28,846.8046
1.0,32.5,12.0,2020-04-29,798.51263
1.0,32.5,12.0,2020-04-30,-162.32979
1.0,32.5,12.0,2020-05-01,-190.30669
1.0,32.5,12.0,2020-05-02,793.09845
1.0,32.5,12.0,2020-05-03,-128.575
1.0,32.5,12.0,2020-05-04,814.988
1.0,32.5,12.0,2020-05-05,845.31024
1.0,32.5,12.0,2020-05-06,-25.301867
1.0,32.5,12.0,2020-05-07,-200.30733
1.0,32.5,12.0,2020-05-08,-100.60435
1.0,32.5,12.0,2020-05-09,822.97156
1.0,32.5,12.0,2020-05-10,819.443
1.0,32.5,12.0,2020-05-11,834.1479
1.0,32.5,12.0,2020-05-12,432.7479
1.0,32.5,12.0,2020-05-13,-200.04466
1.0,32.5,12.0,2020-05-14,-177.10521
1.0,32.5,12.0,2020-05-15,802.6697
1.0,32.5,12.0,2020-05-16,376.7009
1.0,32.5,12.0,2020-05-17,-200.30228
1.0,32.5,12.0,2020-05-18,809.8468
1.0,32.5,12.0,2020-05-19,798.9599
1.0,32.5,12.0,2020-05-20,803.3907
1.0,32.5,12.0,2020-05-21,793.16235
1.0,32.5,12.0,2020-05-22,-4.5374928
1.0,32.5,12.0,2020-05-23,-191.30537
1.0,32.5,12.0,2020-05-24,800.01685
1.0,32.5,12.0,2020-05-25,690.75244
1.0,32.5,12.0,2020-05-26,340.70193
1.0,32.5,12.0,2020-05-27,790.98785
1.0,32.5,12.0,2020-05-28,-200.29741
1.0,32.5,12.0,2020-05-29,9.436216
1.0,32.5,12.0,2020-05-30,786.461
1.0,32.5,12.0,2020-05-31,362.53995
1.0,32.5,12.0,2020-06-01,792.9566
1.0,32.5,12.0,2020-06-02,693.85187
1.0,32.5,12.0,2020-06-03,137.74709
1.0,32.5,12.0,2020-06-04,787.93567
1.0,32.5,12.0,2020-06-05,796.5615
1.0,32.5,12.0,2020-06-06,785.51746
1.0,32.5,12.0,2020-06-07,736.82837
1.0,32.5,12.0,2020-06-08,363.19577
1.0,32.5,12.0,2020-06-09,25.464613
1.0,32.5,12.0,2020-06-10,-200.30733
1.0,32.5,12.0,2020-06-11,120.06334
1.0,32.5,12.0,2020-06-12,512.5503
1.0,32.5,12.0,2020-06-13,799.69977
1.0,32.5,12.0,2020-06-14,-199.54915
1.0,32.5,12.0,2020-06-15,-200.30733
1.0,32.5,12.0,2020-06-16,763.6737
1.0,32.5,12.0,2020-06-17,687.07043
1.0,32.5,12.0,2020-06-18,782.9283
1.0,32.5,12.0,2020-06-19,789.18066
1.0,32.5,12.0,2020-06-20,788.1097
1.0,32.5,12.0,2020-06-21,-199.92355
1.0,32.5,12.0,2020-06-22,134.13383
1.0,32.5,12.0,2020-06-23,781.4181
1.0,32.5,12.0,2020-06-24,-196.32582
1.0,32.5,12.0,2020-06-25,780.2582
1.0,32.5,12.0,2020-06-26,-200.30727
1.0,32.5,12.0,2020-06-27,620.98
1.0,32.5,12.0,2020-06-28,-25.979906
1.0,32.5,12.0,2020-06-29,-200.30733
1.0,32.5,12.0,2020-06-30,-199.79288
1.0,32.5,12.0,2020-07-01,232.90562
1.0,32.5,12.0,2020-07-02,-197.40117
1.0,32.5,12.0,2020-07-03,764.5244
1.0,32.5,12.0,2020-07-04,344.9802
1.0,32.5,12.0,2020-07-05,708.4384
1.0,32.5,12.0,2020-07-06,-200.3012
1.0,32.5,12.0,2020-07-07,-172.34113
1.0,32.5,12.0,2020-07-08,-200.30733
1.0,32.5,12.0,2020-07-09,-160.717
