lon,lat,lev,time,pe
1.0,32.5,10.0,2020-07-13,0.4093863
1.0,32.5,10.0,2020-07-14,0.3068592
1.0,32.5,10.0,2020-07-15,0.09819494
1.0,32.5,10.0,2020-07-16,0.38700363
1.0,32.5,10.0,2020-07-17,0.2772563
1.0,32.5,10.0,2020-07-18,0.08375451
1.0,32.5,10.0,2020-07-19,0.07436823
1.0,32.5,10.0,2020-07-20,0.07509025
1.0,32.5,10.0,2020-07-21,0.33574006
1.0,32.5,10.0,2020-07-22,0.5862816
1.0,32.5,10.0,2020-07-23,0.25126353
1.0,32.5,10.0,2020-07-24,0.22166064
1.0,32.5,10.0,2020-07-25,0.24837545
1.0,32.5,10.0,2020-07-26,0.48375452
1.0,32.5,10.0,2020-07-27,0.6
1.0,32.5,11.0,2020-04-01,0.6447653
1.0,32.5,11.0,2020-04-02,0.7956679
1.0,32.5,11.0,2020-04-03,0.8050541
1.0,32.5,11.0,2020-04-04,0.86209387
1.0,32.5,11.0,2020-04-05,0.80144405
1.0,32.5,11.0,2020-04-06,0.78122747
1.0,32.5,11.0,2020-04-07,0.7826715
1.0,32.5,11.0,2020-04-08,0.78555954
1.0,32.5,11.0,2020-04-09,0.44187728
1.0,32.5,11.0,2020-04-10,0.13285199
1.0,32.5,11.0,2020-04-11,0.6064982
1.0,32.5,11.0,2020-04-12,0.8108303
1.0,32.5,11.0,2020-04-13,0.833935
1.0,32.5,11.0,2020-04-14,0.5935018
1.0,32.5,11.0,2020-04-15,0.8072202
1.0,32.5,11.0,2020-04-16,0.14873646
1.0,32.5,11.0,2020-04-17,0.51263535
1.0,32.5,11.0,2020-04-18,0.058483753
1.0,32.5,11.0,2020-04-19,0.6570397
1.0,32.5,11.0,2020-04-20,0.866426
1.0,32.5,11.0,2020-04-21,0.867148
1.0,32.5,11.0,2020-04-22,0.85631764
1.0,32.5,11.0,2020-04-23,0.834657
1.0,32.5,11.0,2020-04-24,0.78483754
1.0,32.5,11.0,2020-04-25,0.833935
1.0,32.5,11.0,2020-04-26,0.8245488
1.0,32.5,11.0,2020-04-27,0.8028881
1.0,32.5,11.0,2020-04-28,0.78628165
1.0,32.5,11.0,2020-04-29,0.6808664
1.0,32.5,11.0,2020-04-30,0.15306859
1.0,32.5,11.0,2020-05-01,0.18844765
1.0,32.5,11.0,2020-05-02,0.7487365
1.0,32.5,11.0,2020-05-03,0.499639
1.0,32.5,11.0,2020-05-04,0.78555954
1.0,32.5,11.0,2020-05-05,0.82166064
