lon,lat,lev,time,dni
1.0,32.5,12.0,2020-07-01,84.91575
1.0,32.5,12.0,2020-07-02,13.111161
1.0,32.5,12.0,2020-07-03,552.28577
1.0,32.5,12.0,2020-07-04,372.91864
1.0,32.5,12.0,2020-07-05,129.8171
1.0,32.5,12.0,2020-07-06,10.277546
1.0,32.5,12.0,2020-07-07,117.84796
1.0,32.5,12.0,2020-07-08,8.582975
1.0,32.5,12.0,2020-07-09,7.415918
1.0,32.5,12.0,2020-07-10,62.37188
1.0,32.5,12.0,2020-07-11,84.308815
1.0,32.5,12.0,2020-07-12,21.15758
1.0,32.5,12.0,2020-07-13,39.358814
1.0,32.5,12.0,2020-07-14,6.721133
1.0,32.5,12.0,2020-07-15,19.666365
1.0,32.5,12.0,2020-07-16,68.05092
1.0,32.5,12.0,2020-07-17,51.133785
1.0,32.5,12.0,2020-07-18,15.472053
