지점,1시간평균 미세먼지농도(㎍/㎥)
156.0,24.0
156.0,23.0
156.0,12.0
156.0,11.0
156.0,29.0
156.0,20.0
156.0,16.0
156.0,15.0
156.0,21.0
156.0,24.0
156.0,33.0
156.0,38.0
156.0,41.0
156.0,38.0
156.0,38.0
156.0,46.0
156.0,42.0
156.0,50.0
156.0,56.0
156.0,63.0
156.0,79.0
156.0,77.0
156.0,74.0
156.0,66.0
156.0,69.0
156.0,62.0
156.0,56.0
156.0,52.0
156.0,91.0
156.0,100.0
156.0,104.0
156.0,93.0
156.0,93.0
156.0,112.0
156.0,116.0
156.0,110.0
156.0,106.0
156.0,95.0
156.0,96.0
156.0,96.0
156.0,88.0
156.0,88.0
156.0,96.0
156.0,100.0
156.0,103.0
156.0,99.0
156.0,101.0
156.0,99.0
156.0,104.0
156.0,117.0
156.0,115.0
156.0,107.0
156.0,103.0
156.0,101.0
156.0,95.0
156.0,93.0
156.0,93.0
156.0,92.0
156.0,99.0
156.0,112.0
156.0,103.0
156.0,95.0
156.0,89.0
156.0,83.0
156.0,82.0
156.0,83.0
156.0,81.0
156.0,71.0
156.0,70.0
156.0,61.0
156.0,64.0
156.0,59.0
156.0,55.0
156.0,56.0
156.0,48.0
156.0,43.0
156.0,41.0
156.0,37.0
156.0,43.0
156.0,50.0
156.0,54.0
156.0,51.0
156.0,66.0
156.0,59.0
156.0,53.0
156.0,54.0
156.0,53.0
156.0,47.0
156.0,48.0
156.0,50.0
156.0,63.0
156.0,65.0
156.0,68.0
156.0,48.0
156.0,52.0
156.0,49.0
156.0,44.0
156.0,39.0
156.0,36.0
156.0,53.0
156.0,65.0
156.0,42.0
156.0,37.0
156.0,35.0
156.0,33.0
156.0,34.0
156.0,33.0
156.0,35.0
156.0,32.0
156.0,38.0
156.0,33.0
156.0,41.0
156.0,42.0
156.0,50.0
156.0,53.0
156.0,45.0
156.0,44.0
156.0,34.0
156.0,42.0
156.0,39.0
156.0,34.0
156.0,38.0
156.0,47.0
156.0,36.0
156.0,42.0
156.0,39.0
156.0,38.0
156.0,40.0
156.0,38.0
156.0,38.0
156.0,44.0
156.0,51.0
156.0,52.0
156.0,47.0
156.0,41.0
156.0,42.0
156.0,45.0
156.0,45.0
156.0,50.0
156.0,52.0
156.0,42.0
156.0,57.0
156.0,46.0
156.0,46.0
156.0,45.0
156.0,49.0
156.0,49.0
156.0,44.0
156.0,41.0
156.0,42.0
156.0,39.0
156.0,26.0
156.0,26.0
156.0,27.0
156.0,28.0
156.0,26.0
156.0,25.0
156.0,25.0
156.0,22.0
156.0,18.0
156.0,17.0
156.0,13.0
156.0,18.0
156.0,25.0
156.0,20.0
156.0,21.0
156.0,22.0
156.0,28.0
156.0,21.0
156.0,20.0
156.0,25.0
156.0,34.0
156.0,46.0
156.0,33.0
156.0,40.0
156.0,33.0
156.0,33.0
156.0,22.0
156.0,20.0
156.0,26.0
156.0,26.0
156.0,26.0
156.0,28.0
156.0,27.0
156.0,30.0
156.0,31.0
156.0,81.0
156.0,19.0
156.0,28.0
156.0,29.0
156.0,45.0
156.0,39.0
156.0,40.0
156.0,46.0
156.0,40.0
156.0,47.0
156.0,43.0
156.0,39.0
156.0,46.0
156.0,40.0
156.0,43.0
156.0,28.0
156.0,24.0
156.0,9.0
156.0,7.0
156.0,6.0
156.0,5.0
156.0,8.0
156.0,6.0
156.0,8.0
156.0,10.0
156.0,11.0
156.0,10.0
156.0,18.0
156.0,19.666666666666664
156.0,21.333333333333332
156.0,23.0
156.0,24.666666666666664
156.0,26.333333333333332
156.0,28.0
156.0,29.666666666666664
156.0,31.333333333333332
156.0,33.0
156.0,22.0
156.0,17.0
156.0,17.0
156.0,37.0
156.0,20.0
156.0,13.0
156.0,8.0
156.0,10.0
156.0,14.0
156.0,15.0
156.0,12.0
