features,mae,mse,rmse,r2
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",558874.8826441836,723326015893.9849,850485.752904765,0.9346625977010148
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",659362.9915006931,930975639211.3915,964870.788868329,0.915905790012916
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",565789.9615074547,747473729401.7904,864565.6304768253,0.9324813559961798
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",565255.3745517394,744501679470.6609,862845.1074617396,0.9327498186502748
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",689612.4590488989,1000086952305.4152,1000043.4752076607,0.9096630259372256
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",606283.8000012613,856323692847.7025,925377.5947404943,0.9226490346146442
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",548564.4687810162,715831072265.8003,846068.0068799437,0.9353396093614315
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",507177.47371212684,646757247993.0984,804212.1909005722,0.941578987104892
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",585673.3313432325,823758489563.8256,907611.41991704,0.9255906207613518
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",573963.4311850023,814317128883.9104,902395.2176756648,0.9264434505606933
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",689075.854865028,1050791774435.688,1025081.350155044,0.905082903987748
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",600544.0032494966,880107162944.0566,938140.2682669882,0.9205006946965357
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",556876.5317316329,787476562368.0695,887398.7617571198,0.9288679353073269
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",507374.012512301,703335951070.3225,838651.2690447218,0.9364682826600331
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",578233.3668808016,827554829102.8878,909700.4062343205,0.9252477007525634
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",563411.5428558091,809228131825.5929,899571.0821417021,0.9269031351853183
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",528235.4695477858,751103746476.0625,866662.417828339,0.9321534597492285
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",624567.3022436316,953453042875.5748,976449.2013799667,0.9138754259259445
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",524882.9913557257,750629745794.7434,866388.9113987687,0.932196275813527
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",561256.490084646,724801577251.3456,851352.7924728653,0.9345293115424856
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",685078.5826428492,979176387581.8148,989533.4191333888,0.9115518588419238
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",591685.9901849491,795941022465.5718,892155.2681375433,0.9281033480776657
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",552592.3586450919,711679392308.9252,843610.9247211805,0.9357146269573681
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",494246.1112228217,611900658649.5562,782240.7932660864,0.944727552137348
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",575636.2778930564,770918561858.635,878019.6819312396,0.9303636049179583
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",558680.1603980793,732475894000.6265,855848.0554401152,0.9338360972659359
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",533953.0245569006,691988969344.266,831858.7436243404,0.9374932455310261
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",648017.4413103377,971233872895.5627,985511.9851607908,0.9122692992020356
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",531920.8192530002,693428789959.091,832723.7176633622,0.937363187802309
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",565479.8894588739,801448890828.0721,895236.7791975887,0.9276058271768507
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",515566.12860992,716916633210.4613,846709.2967544772,0.9352415515968787
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",603655.4205550018,884121849748.2485,940277.5386811325,0.9201380515714911
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",512551.72544939833,711158589106.2518,843302.1932298361,0.935761670652222
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'Visibility(10m)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",544560.5390715101,789596795021.0035,888592.5922609323,0.9286764165581485
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",572360.6994334967,743841427207.804,862462.4207510748,0.9328094586559834
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",684075.8434680447,970011501978.6116,984891.6194072379,0.9123797148909566
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",582910.7102435004,778912778567.7485,882560.3540652324,0.9296414943596327
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",541452.1051520607,693737947842.7324,832909.32750374,0.9373352618428197
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",488529.79180956015,599449886369.8977,774241.4909896639,0.9458522194374225
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",566954.9231616594,748200134849.3646,864985.6269611447,0.9324157404315279
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",546154.246667533,705827915926.8345,840135.6532887022,0.9362431856681275
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",511790.38280626695,657302465050.7847,810741.922593611,0.9406264469306296
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",610438.2202044639,869421102730.3882,932427.5321602147,0.9214659571090991
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Snowfall(cm)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",502833.4977034871,650790065147.6348,806715.6036346606,0.9412147062812601
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",557713.0099229481,789979202789.41,888807.742309556,0.9286418740010476
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",507475.00858518924,705150717674.2759,839732.5274599501,0.936304356390169
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",598964.18620563,876019969277.0504,935959.3844163594,0.9208698873026734
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",501072.462262006,699507034970.3004,836365.3716948715,0.9368141452808971
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'sunshine(hr)', 'Visibility(10m)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",524172.39474489493,765276881649.4996,874801.0526111063,0.9308732129250903
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",549472.9998258435,703237338337.6578,838592.4745295881,0.9364771902613697
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",494008.2589783967,605296969773.1707,778008.3352851502,0.9453240575405727
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",597216.1133277818,809404637704.1732,899669.1823688156,0.9268871915646776
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",490633.9407009452,610110384242.057,781095.6306637856,0.9448892660486661
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",526820.9423256223,688949292915.2468,830029.6939960924,0.9377678168271465
"['Vapor_pressure(hPa)', 'Dew_Point(C)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",511330.22075836756,725489655721.2565,851756.8055033411,0.9344671580199883
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",560309.0731085539,729465349948.6891,854087.4369458252,0.9341080370600785
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",678469.7778646208,965283339313.8191,982488.3405485376,0.9128068056624434
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",583657.9734325869,779457612052.9266,882868.9665250028,0.929592280030513
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",543275.5950073306,699533890185.2987,836381.4262555684,0.936811719472966
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",486394.86998506676,601114216533.6241,775315.5593264101,0.9457018819587804
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",566115.0566945592,747028185066.1405,864307.922598272,0.9325216016238231
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",549278.7259714642,716689807530.3191,846575.3407289389,0.9352620405608998
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",508129.519156307,652397925156.4736,807711.5358569999,0.9410694697020006
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",611746.3525132,869799692777.2666,932630.5231855038,0.9214317594034231
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",507793.96491129854,656943663998.266,810520.6129385396,0.9406588571138645
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",556045.5369299846,787606847712.8168,887472.1672891026,0.9288561667468211
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",508715.24154182064,710735146006.428,843051.0933546246,0.9357999198946881
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",598382.6098977216,872403777550.3412,934025.5764968866,0.9211965347181493
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",505194.5549862909,706913671900.5742,840781.5839447093,0.9361451102867697
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Visibility(10m)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",526603.522834559,758379166436.843,870849.6807353396,0.9314962774684501
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",552010.4178405406,712114258872.3904,843868.6265482266,0.935675345843487
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",494887.5402629536,613276479656.705,783119.709659197,0.9446032754368558
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",595176.9518221515,808203499681.782,899001.390255756,0.9269956893049235
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",493420.60233866214,615493257542.7366,784533.7835573027,0.9444030358417569
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",530529.06739142,692867108324.328,832386.3936443988,0.9374139240099498
"['Vapor_pressure(hPa)', 'Local Atmospheric Pressure(hPa)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",514325.03779940493,725222851417.5426,851600.1710999961,0.9344912582178849
"['Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",539098.0421581827,688172499996.5214,829561.6312224917,0.9378379838477133
"['Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",491175.25851770095,605501061851.4569,778139.487400207,0.9453056220827957
"['Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",586711.6382876177,785808791133.382,886458.5670708936,0.9290185836148799
"['Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",484413.31443667074,606041556169.3541,778486.7090511912,0.9452567997068368
"['Vapor_pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",502691.97166005336,652818139611.7012,807971.6205484578,0.9410315121001588
"['Vapor_pressure(hPa)', 'sunshine(hr)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",505585.5365949888,716507073981.6686,846467.408694315,0.935278546721496
"['Vapor_pressure(hPa)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",490625.6424157888,611320032912.3995,781869.575384795,0.9447799995490824
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'year', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",560887.9205638611,730290269251.7944,854570.2248801993,0.9340335228255745
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",677309.2720581314,960413428869.9489,980006.8514403095,0.913246700386039
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'Visibility(10m)', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",584193.418559328,780359687075.8914,883379.695870293,0.9295107963877514
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",543001.3022884009,699696605622.3942,836478.6940636289,0.9367970215307655
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'year', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",487107.8870526354,603920360473.9352,777123.1308318748,0.9454484054467952
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Cloud_Cover(1/10)', 'month', 'hour', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",566201.3553302785,748113100811.3737,864935.3159695663,0.9324236021395668
"['Dew_Point(C)', 'Local Atmospheric Pressure(hPa)', 'sunshine(hr)', 'Snowfall(cm)', 'Visibility(10m)', 'year', 'month', 'Temp(C)', 'Solar_Radiation(MJ/m2)', 'Wind_speed(m/s)']",549183.6441826945,716879846895.8593,846687.5733680394,0.9352448744722951
