longitude,latitude,time,d2m,t2m
126.4,34.74,2019-01-17 03:00:00,268.78006,277.34375
126.4,34.74,2019-01-17 04:00:00,268.73648,277.4297
126.4,34.74,2019-01-17 05:00:00,268.68997,277.68143
126.4,34.74,2019-01-17 06:00:00,268.7942,277.7808
126.4,34.74,2019-01-17 07:00:00,268.77063,277.85455
126.4,34.74,2019-01-17 08:00:00,268.98676,277.50223
126.4,34.74,2019-01-17 09:00:00,268.72116,277.41812
126.4,34.74,2019-01-17 10:00:00,268.64343,276.90793
126.4,34.74,2019-01-17 11:00:00,269.10217,276.82443
126.4,34.74,2019-01-17 12:00:00,269.3901,276.94757
126.4,34.74,2019-01-17 13:00:00,269.89417,276.9878
126.4,34.74,2019-01-17 14:00:00,270.23865,276.4898
126.4,34.74,2019-01-17 15:00:00,270.70914,276.413
126.4,34.74,2019-01-17 16:00:00,271.06714,276.21002
126.4,34.74,2019-01-17 17:00:00,271.19083,275.62546
126.4,34.74,2019-01-17 18:00:00,271.65955,275.20245
126.4,34.74,2019-01-17 19:00:00,271.9946,274.99948
126.4,34.74,2019-01-17 20:00:00,272.20422,274.9806
126.4,34.74,2019-01-17 21:00:00,272.3114,274.9885
126.4,34.74,2019-01-17 22:00:00,272.20245,274.85562
126.4,34.74,2019-01-17 23:00:00,272.29785,274.91962
126.4,34.74,2019-01-18 00:00:00,272.4969,275.45847
126.4,34.74,2019-01-18 01:00:00,272.49924,276.31302
126.4,34.74,2019-01-18 02:00:00,272.183,278.3001
126.4,34.74,2019-01-18 03:00:00,271.5995,278.75726
126.4,34.74,2019-01-18 04:00:00,271.84268,279.05533
126.4,34.74,2019-01-18 05:00:00,272.047,279.6088
126.4,34.74,2019-01-18 06:00:00,271.9616,279.67035
126.4,34.74,2019-01-18 07:00:00,271.8091,279.6923
126.4,34.74,2019-01-18 08:00:00,271.6984,278.9639
126.4,34.74,2019-01-18 09:00:00,271.9887,278.30194
126.4,34.74,2019-01-18 10:00:00,271.69897,277.01886
126.4,34.74,2019-01-18 11:00:00,271.8026,276.74094
126.4,34.74,2019-01-18 12:00:00,272.05054,276.48004
126.4,34.74,2019-01-18 13:00:00,272.32788,276.15088
126.4,34.74,2019-01-18 14:00:00,272.6158,275.67422
126.4,34.74,2019-01-18 15:00:00,272.84726,275.48163
126.4,34.74,2019-01-18 16:00:00,273.0439,275.38593
126.4,34.74,2019-01-18 17:00:00,273.30655,275.1543
126.4,34.74,2019-01-18 18:00:00,273.5527,275.0793
126.4,34.74,2019-01-18 19:00:00,273.70166,275.04642
126.4,34.74,2019-01-18 20:00:00,273.6428,274.7459
126.4,34.74,2019-01-18 21:00:00,273.55505,274.53256
126.4,34.74,2019-01-18 22:00:00,273.28476,275.04642
126.4,34.74,2019-01-18 23:00:00,273.10986,274.89218
126.4,34.74,2019-01-19 00:00:00,273.1081,275.5688
126.4,34.74,2019-01-19 01:00:00,271.878,276.8031
126.4,34.74,2019-01-19 02:00:00,270.09613,279.3461
126.4,34.74,2019-01-19 03:00:00,270.04196,279.9099
126.4,34.74,2019-01-19 04:00:00,271.06598,280.2177
126.4,34.74,2019-01-19 05:00:00,272.4127,280.47922
126.4,34.74,2019-01-19 06:00:00,273.93192,280.83395
126.4,34.74,2019-01-19 07:00:00,275.22797,280.78763
126.4,34.74,2019-01-19 08:00:00,276.38446,280.15128
126.4,34.74,2019-01-19 09:00:00,276.90326,279.9684
126.4,34.74,2019-01-19 10:00:00,276.58115,278.981
126.4,34.74,2019-01-19 11:00:00,276.7743,278.9188
126.4,34.74,2019-01-19 12:00:00,276.77075,278.79324
126.4,34.74,2019-01-19 13:00:00,276.7955,278.67377
126.4,34.74,2019-01-19 14:00:00,276.73364,278.4208
126.4,34.74,2019-01-19 15:00:00,276.5517,278.27573
126.4,34.74,2019-01-19 16:00:00,276.1937,278.20502
126.4,34.74,2019-01-19 17:00:00,275.77087,278.23672
